Product,Price_2025_01_01,W1_Jan_2026,W2_Jan_2026,W3_Jan_2026,W4_Jan_2026,Change_Ann,Change_Wk,Category
Ash Plantain  1kg,298.0,335.0,353.7,358.46,336.52,,,Vegetables
Ash Pumpkin  1kg,272.2,333.33,356.59,365.6,351.68,,,Vegetables
Bandakka  1kg,367.2,431.72,457.59,430.38,416.96,,,Vegetables
Brinjal  1kg,472.1,561.79,487.24,397.04,390.48,,,Vegetables
Bitter Guard  1kg,617.0,857.5,805.6,680.0,706.0,,,Vegetables
Cucumber  1kg,264.3,284.44,294.29,276.8,238.46,,,Vegetables
Red Pumpkin  1kg,266.5,270.0,262.5,250.34,249.66,,,Vegetables
Snake Gourd  1kg,408.3,592.0,550.37,482.33,470.43,,,Vegetables
Kohila Yams  1kg,310.7,356.09,363.04,356.19,325.5,,,Vegetables
Vetakolu  1kg,477.3,654.38,667.62,626.67,652.5,,,Vegetables
Green Chillies  1kg,1436.2,1262.22,1138.57,962.86,868.0,,,Spices/Condiments
Cap Chillies  1kg,890.2,1140.71,1024.44,901.54,980.95,,,Spices/Condiments
Limes  1kg,533.1,658.33,598.46,433.1,444.35,,,Spices/Condiments
Long Beans  1kg,431.6,507.2,443.2,409.23,377.39,,,Vegetables
Drumstick  1kg,1077.8,1233.33,900.0,,,,,Vegetables
Gotukola  Bunch,63.3,57.38,57.53,59.23,58.08,,,Leafy Greens
Kankun  Bunch,73.2,78.24,77.78,79.29,80.67,,,Leafy Greens
Kathurumurunga  Bunch,84.0,86.79,86.67,90.0,88.57,,,Leafy Greens
Kohila Leaves  Bunch,90.4,90.31,89.09,93.64,90.0,,,Leafy Greens
Mukunuwenna  Bunch,73.7,79.38,78.82,80.71,80.0,,,Leafy Greens
Nivithi  500g,151.9,175.38,169.93,147.5,146.0,,,Leafy Greens
Sarana  Bunch,103.1,108.92,105.33,105.83,105.38,,,Leafy Greens
Thampala  Bunch,111.9,110.57,113.45,117.33,113.17,,,Leafy Greens
Leeks  1kg,410.9,528.75,552.69,509.67,508.08,,,Vegetables
Beans Butter  1kg,727.7,1452.5,1345.0,1070.0,835.0,,,Vegetables
Beans Green  1kg,536.6,900.4,648.93,623.33,591.67,,,Vegetables
Beet Root  1kg,609.2,886.32,920.83,714.17,733.5,,,Vegetables
Cabbagge Seed  1kg,336.1,464.07,457.93,405.52,387.41,,,Spices/Condiments
Carrot  1kg,402.3,520.4,503.79,495.0,468.93,,,Vegetables
KnolKhol  1kg,471.4,641.33,594.0,542.73,452.17,,,Vegetables
Raddish  1kg,281.0,370.0,356.92,317.78,251.11,,,Vegetables
Tomatoe No1.  1kg,449.1,696.52,654.83,604.14,648.89,,,Vegetables
Average Coconuts Each,191.1,188.08,182.59,176.05,180.37,,,Coconut Products
Large Coconuts Each,207.2,207.86,200.91,192.94,197.89,,,Coconut Products
Medium Coconuts Each,191.1,185.56,181.59,176.96,180.8,,,Coconut Products
Small Coconuts  Each,175.1,170.83,165.26,158.25,162.41,,,Coconut Products
Betel Leaves - Average 100 leaves,488.5,662.5,583.93,656.55,668.45,,,Spices/Condiments
Betel Leaves - Medium 100 leaves,609.7,800.0,700.0,741.67,783.33,,,Spices/Condiments
Betel Leaves - Small 100 leaves,367.2,525.0,467.86,571.43,553.57,,,Spices/Condiments
Arecanuts - Average 100 Nuts,952.3,1064.58,1012.5,1071.43,1068.33,,,Spices/Condiments
Arecanuts - Medium 100 Nuts,1177.8,1262.5,1150.0,1242.86,1270.0,,,Spices/Condiments
Arecanuts - Small 100Nuts,726.8,866.67,875.0,900.0,866.67,,,Spices/Condiments
Local Potatoes 1Kg,416.9,399.0,419.0,415.0,406.36,,,Spices/Condiments
Imported Potatoes  1Kg,233.7,220.0,207.88,203.2,195.74,,,Spices/Condiments
Coconut Oil 750ml,593.9,654.81,664.11,667.12,650.65,,,Coconut Products
Dried Chillies No1.  1Kg,895.6,1005.69,1016.38,1024.81,1035.8,,,Spices/Condiments
Corriander  1Kg,637.2,616.0,598.75,596.0,548.08,,,Spices/Condiments
Pepper Powder  1Kg,2824.7,2850.0,2879.17,2838.1,2860.87,,,Spices/Condiments
Turmeric Powder 1Kg,3676.2,3552.63,3580.0,3494.12,3494.74,,,Spices/Condiments
Garlic  1Kg,681.8,564.23,562.4,555.42,563.64,,,Spices/Condiments
CumminSeed  1Kg,2141.3,1670.37,1715.38,1680.77,1718.18,,,Spices/Condiments
Fennel Seed  1Kg,1776.8,1429.63,1461.54,1388.46,1386.36,,,Spices/Condiments
Mustard  1Kg,737.9,753.7,768.52,753.85,725.0,,,Spices/Condiments
Mathe Seed  1Kg,723.3,737.04,760.0,750.0,702.17,,,Spices/Condiments
Cinnamon  1Kg,6020.7,7040.0,6635.0,6754.55,6537.5,,,Spices/Condiments
Gorakka  1Kg,696.9,696.0,700.0,688.46,703.85,,,Spices/Condiments
MaldiveFish U 1Kg,2986.7,3017.39,3065.91,2961.76,2952.94,,,Fish
Salt 1KgPkt,108.6,157.19,160.68,159.0,162.0,,,Spices/Condiments
Tamarind  1Kg,2204.7,1236.36,1119.05,1145.0,1147.37,,,Spices/Condiments
Red Onions Average  1Kg,593.8,454.58,454.07,459.6,453.6,,,Spices/Condiments
B.Onions Local  1kg,,,,,,,,Spices/Condiments
B.Onions Imported  1kg,260.2,224.48,202.66,199.48,185.74,,,Spices/Condiments
Raw Red Average  1Kg,300.0,212.7,212.6,212.42,211.3,,,Grains/Pulses
Raw Red No1.  1Kg,300.0,220.9,220.54,220.18,217.93,,,Grains/Pulses
Raw Red No2.  1Kg,,204.5,204.67,204.67,204.67,,,Grains/Pulses
Raw Red Imported  1Kg,,,,,,,,Grains/Pulses
Raw White Local  1Kg,243.3,220.19,220.34,219.68,217.69,,,Grains/Pulses
Raw White Imported  1Kg,223.7,,,,,,,Grains/Pulses
Raw White Average  1Kg,,,,,,,,Grains/Pulses
Nadu Red  1Kg,264.4,238.77,237.23,237.83,237.39,,,Grains/Pulses
Nadu White  1Kg,237.1,230.21,230.77,229.76,230.6,,,Grains/Pulses
Nadu White Imported 1Kg,230.8,,,,,,,Grains/Pulses
Samba Average  1Kg,248.2,248.74,248.76,251.07,248.42,,,Grains/Pulses
Samba No1.  1Kg,245.8,253.06,252.67,257.31,250.68,,,Grains/Pulses
Samba No2.  1Kg,,,,,,,,Grains/Pulses
Ponni Samba Imported  1Kg,250.6,244.42,244.85,244.83,246.15,,,Grains/Pulses
WheatFlour1Kg,184.5,183.07,183.9,181.93,183.07,,,Grains/Pulses
Mysore Dhall - Average 1Kg,348.1,335.8,328.13,331.81,331.41,,,Grains/Pulses
Mysore Dhall - No1. Large 1Kg,445.2,440.56,434.21,438.89,438.89,,,Grains/Pulses
Mysore Dhall - No2.Medium  1Kg,312.4,299.52,286.19,291.25,289.78,,,Grains/Pulses
Mysore Dhall - No3.Small  1Kg,286.8,267.33,264.0,265.29,265.56,,,Grains/Pulses
Cowpea Whole Average  1Kg,828.8,1028.0,1006.48,1001.79,965.51,,,Grains/Pulses
Green Gram Average  1Kg,763.5,809.79,819.3,806.92,824.38,,,Grains/Pulses
Kadalai Average  1Kg,616.4,533.67,527.09,525.39,523.4,,,Grains/Pulses
Sugar 1Kg,253.4,221.94,219.74,220.83,222.16,,,Sugar
Paraw  1Kg,2382.9,2563.08,2956.36,2822.86,2861.67,,,Fish
Mullet  1Kg,2428.3,2935.71,2980.0,2715.0,2980.0,,,Fish
Thalapath  1Kg,2815.6,2931.25,2986.32,2965.0,2992.73,,,Fish
Balaya  1Kg,1096.2,1440.0,1816.0,1465.0,1406.67,,,Fish
Kelewella  1Kg,2126.4,2635.0,2633.5,2545.26,2318.89,,,Fish
Mora  1Kg,1693.5,1955.0,2230.0,2217.5,2166.67,,,Fish
Salaya  1Kg,454.1,594.71,640.91,590.0,617.65,,,Fish
Parati  1Kg,1399.6,1662.86,1825.33,1623.33,1520.0,,,Fish
Small Mullet  1Kg,1397.8,1505.0,1756.67,1600.0,1615.0,,,Fish
Hurulla  1Kg,1143.1,1105.45,1270.0,1046.67,1066.67,,,Fish
Linna  1Kg,931.9,916.0,992.94,946.67,996.92,,,Fish
Prawns  1Kg,2343.8,2384.17,2578.33,2480.0,2690.67,,,Fish
Katta  1Kg,2084.7,2496.0,2494.23,2522.0,2481.25,,,Fish
Spratts  1Kg,1171.9,1339.29,1296.43,1260.0,1288.46,,,Fish
Salaya Average  1Kg,1241.8,1221.43,1222.16,1271.43,1263.64,,,Fish
Beef  1Kg,2559.0,2770.0,2823.08,2833.33,2850.0,,,Meat/Eggs
Mutton  1Kg,3516.5,4038.0,4075.0,4114.29,4164.29,,,Meat/Eggs
Chicken Fresh  1Kg,1067.3,1216.0,1247.14,1206.0,1221.88,,,Meat/Eggs
Chicken Broiler  1Kg,1062.5,1180.0,1180.0,1180.0,1180.0,,,Coconut Products
Pork  1Kg,1295.8,3000.0,3000.0,3000.0,3000.0,-645991.9926388889,,Meat/Eggs
Egg - Average  Each,34.1,36.61,30.61,32.91,33.35,,,Meat/Eggs
Egg - Red  Each,35.4,37.63,32.28,34.18,34.07,,,Meat/Eggs
Egg - White  Each,32.9,35.59,28.95,31.65,32.63,,,Meat/Eggs
Tinned Fish 425g,486.7,511.67,499.64,505.83,482.5,,,Fish
Maliban  400g,,1200.0,1200.0,1200.0,1150.0,,,Dairy
Lakspray  400g,,,,,,,,Dairy
Anchor  400g,1050.0,1200.0,1200.0,1200.0,1150.0,,,Dairy
Pelwatta  400g,1050.0,1125.0,1125.0,1125.0,1125.0,,,Dairy
Highland  400g,,,,,,,,Dairy
Lactogen II  400g,1800.0,1500.0,1500.0,1500.0,1500.0,,,Dairy
Lactogen I  400g,1800.0,1500.0,1500.0,1500.0,1500.0,,,Dairy
Sour Plantain  1Kg,208.5,232.8,248.08,225.36,228.4,,,Vegetables
Anamalu  1Kg,321.9,321.9,344.38,340.0,335.79,,,Fruits
Kolikuttu  1Kg,337.7,348.0,345.77,325.56,338.8,,,Fruits
Papaw 1Kg,234.7,334.29,347.08,365.5,470.53,-657313.9926388889,,Fruits
Pineapple 1Kg,461.2,380.43,376.4,368.8,388.1,,,Fruits
Bread  450g,133.6,132.0,132.0,132.0,132.0,,,Bakery
